count, time (ms), startX, endX, deltaX, deltaXDeg
0, 6, -7, -7, 0, -0.000000
1, 12, 1, 1, 0, -0.000000
2, 18, 23, 23, 0, -0.000000
3, 24, 44, 50, 6, -0.274675
4, 31, 97, 125, 28, -1.263505
5, 37, 186, 245, 59, -2.691815
6, 43, 285, 353, 68, -3.076360
7, 52, 289, 385, 96, -4.284929
8, 54, 285, 371, 86, -3.900384
9, 60, 289, 407, 118, -5.273759
10, 66, 285, 410, 125, -5.658304
11, 72, 282, 448, 166, -7.471159
12, 78, 286, 481, 195, -8.789599
13, 85, 281, 506, 225, -10.108039
14, 91, 289, 534, 245, -10.986999
15, 97, 285, 559, 274, -12.360373
16, 103, 281, 615, 334, -15.052188
17, 108, 286, 632, 346, -15.601538
18, 118, 286, 698, 412, -18.568027
19, 120, 282, 722, 440, -19.776598
20, 129, 285, 790, 505, -22.743088
21, 132, 285, 814, 529, -23.841787
22, 139, 285, 828, 543, -24.446072
23, 144, 281, 897, 616, -27.742172
24, 151, 281, 914, 633, -28.511261
25, 157, 272, 952, 680, -30.598791
26, 163, 253, 1011, 758, -34.114632
27, 168, 278, 1050, 772, -34.718918
28, 177, 288, 1156, 868, -39.058781
29, 181, 272, 1181, 909, -40.871635
30, 187, 285, 1220, 935, -42.080204
31, 194, 285, 1284, 999, -44.991760
32, 198, 277, 1336, 1059, -47.628639
33, 205, 277, 1372, 1095, -49.276688
34, 211, 285, 1444, 1159, -52.188244
35, 217, 243, 1447, 1204, -54.165905
36, 222, 256, 1492, 1236, -55.594215
37, 228, 275, 1582, 1307, -58.835377
38, 234, 271, 1671, 1400, -63.010437
39, 240, 267, 1668, 1401, -63.010437
40, 247, 265, 1753, 1488, -66.965759
41, 253, 269, 1835, 1566, -70.481598
42, 258, 269, 1817, 1548, -69.657570
43, 265, 261, 1867, 1606, -72.239517
44, 270, 203, 1865, 1662, -74.821465
45, 276, 254, 2033, 1779, -80.040283
46, 282, 265, 2082, 1817, -81.743271
47, 289, 250, 2144, 1894, -85.204178
48, 295, 277, 2245, 1968, -88.555206
49, 301, 253, 2249, 1996, -89.818718
